date,ticker,gap_pct,open,prev_close,volume,stop,tgt,shares,outcome,exit,pnl,pct
2026-04-02,MGN,-8.33,0.16899999976158142,0.156,2704900,0.17153499975800512,0.16392999976873399,39447,STOP,0.17153499975800512,-99.99814485892584,-1.4999999999999896
2026-04-09,MGN,-4.2,0.14259999990463257,0.238,5669800,0.14473899990320205,0.13832199990749358,46750,STOP,0.14473899990320205,-99.99824993312318,-1.4999999999999938
2026-04-13,MGN,-3.28,0.22769999504089355,0.244,5478600,0.23111549496650693,0.22086899518966674,29278,STOP,0.23111549496650693,-99.99900682210854,-1.4999999999999898
2026-04-15,MGN,-4.64,0.23549999296665192,0.237,2918900,0.23903249286115166,0.22843499317765234,28308,STOP,0.23903249286115166,-99.99800701349882,-1.4999999999999865
2026-04-16,MGN,-3.86,0.22920000553131104,0.233,2426500,0.2326380056142807,0.2223240053653717,29086,TARGET,0.2223240053653717,199.9953408265116,3.0000000000000036
2026-04-17,MGN,-4.05,0.2240999937057495,0.222,1053900,0.22746149361133572,0.21737699389457701,29748,STOP,0.22746149361133572,-99.9978991913785,-1.4999999999999842
2026-04-28,MSTR,-3.22,0.21310000121593475,169.2,9205765,0.21629650123417377,0.2067070011794567,31284,STOP,0.21629650123417377,-99.99930657058927,-1.4999999999999958
2026-03-25,MU,-3.17,163.75,395.53,55328700,166.20624999999998,158.8375,40,STOP,166.20624999999998,-98.24999999999932,-1.4999999999999896
2026-04-20,MYSE,-8.92,341.3399963378906,3.81,3174900,346.46009628295894,331.0997964477539,19,STOP,346.46009628295894,-97.28189895629805,-1.499999999999988
2026-04-21,MYSE,-4.69,503.989990234375,3.52,1819100,511.5498400878906,488.87029052734374,13,STOP,511.5498400878906,-98.27804809570245,-1.4999999999999898
2026-03-31,NEXR,-28.25,3.4700000286102295,3.08,1714800,3.5220500290393826,3.3659000277519224,1921,TARGET,3.3659000277519224,199.97610164880786,3.000000000000005
2026-03-25,NONOF,-6.14,3.3550000190734863,36.82,2412400,3.405325019359588,3.2543500185012815,1987,STOP,3.405325019359588,-99.9957755684842,-1.4999999999999842
2026-03-31,NONOF,-3.55,8.579999923706055,35.25,1482400,8.708699922561644,8.322599925994872,777,STOP,8.708699922561644,-99.99989911079302,-1.4999999999999842
2026-04-02,NVTS,-4.92,209.5050048828125,8.54,11407400,212.64757995605467,203.21985473632813,31,STOP,212.64757995605467,-97.41982727050728,-1.4999999999999918
