ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,primitives_json,reasons,notes,timestamp
TDOC,BULL_BOUNCE_PENDING,LONG,71.1,6.43,6.03,7.42,,250,2.48,FAVORABLE,1.29,6.56,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 10.1, ""moderate_pullback"": 4.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $6.18 (daily 13tk MINOR gap) | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $6.43 (2% pullback cap; anchor at $6.18 too far). Stop $6.03. Anchor: daily 13tk.,2026-05-05T05:30:35
DDOG,BEAR_REJECTION_PENDING,SHORT,74.9,150.11,152.22,141.53,138.5,47,4.08,FAVORABLE,1.35,149.0927,"{""structural_anchor_above"": 14.0, ""large_anchor"": 10.0, ""high_genesis_rank"": 10.9, ""conviction_tier"": 10.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0}","PENDING: wait for rally to $150.11 (daily 109tk CONVICTION bear gap) | only 0.7% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability",LIMIT SHORT @ $150.11 on rally (0.7% above current $149.09). Stop $152.22. Anchor: daily 109tk bear.,2026-05-05T05:30:39
DDOG,BULL_BOUNCE_PENDING,LONG,65.0,148.68,146.57,152.2,156.14,47,1.67,FAVORABLE,1.35,149.0927,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $148.68 (5m 40tk MINOR gap) | only 0.3% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $148.68 on pullback (0.3% below current $149.09). Stop $146.57. Anchor: 5m 40tk.,2026-05-05T05:30:39
BRBR,BULL_BOUNCE_PENDING,LONG,69.0,11.58,11.33,13.05,13.05,399,5.87,FAVORABLE,1.94,11.6823,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $11.58 (1m 9tk MINOR gap) | only 0.9% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $11.58 on pullback (0.9% below current $11.68). Stop $11.33. Anchor: 1m 9tk.,2026-05-05T05:30:47
STX,BULL_BOUNCE_PENDING,LONG,90.1,752.4,725.32,790.02,,3,1.39,FAVORABLE,1.38,752.4,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 5.1, ""vacuum_tier"": 6.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $752.00 (15m 2304tk VACUUM gap) | only 0.1% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,MARKET BUY @ ~$752.40 (CONVICTION score 90). Stop $725.32. Anchor: 15m 2304tk @ $752.00.,2026-05-05T05:30:55
STX,BULL_BOUNCE_CONFIRMED,LONG,87.6,752.4,724.8,790.02,,3,1.36,FAVORABLE,1.38,752.4,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""anchor_high_genesis_rank"": 9.6, ""multiple_touches"": 16.0, ""obv_rising"": 8.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 5.0}",ASC channel detected on 15m (score 96) | recovered 2.8% from recent low $732.18 | bounce at weekly 1162tk @ $732.73 (CONVICTION) | 7 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | staircase: 1 prior distinct rejection(s) below — prev = 5m 53tk @ $728.70,"Channel: 15m ASC, rails $733.50-$753.85. Recent low $732.18 → now $752.40 (+2.8%)",2026-05-05T05:30:55
AESI,BULL_BOUNCE_CONFIRMED,LONG,74.0,17.7,16.62,18.59,,92,0.82,FAVORABLE,0.88,17.7,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 16.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 5.0}",ASC channel detected on 1h (score 100) | recovered 3.7% from recent low $17.07 | bounce at 1h 70tk @ $17.35 (None) | 6 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | staircase: 1 prior distinct rejection(s) below — prev = daily 18tk @ $16.79,"Channel: 1h ASC, rails $17.01-$17.46. Recent low $17.07 → now $17.70 (+3.7%)",2026-05-05T05:30:58
AESI,BULL_BOUNCE_PENDING,LONG,71.2,17.35,16.62,18.21,,137,1.19,FAVORABLE,0.88,17.7,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 10.2, ""moderate_pullback"": 4.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $16.88 (daily 18tk MINOR gap) | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $17.35 (2% pullback cap; anchor at $16.88 too far). Stop $16.62. Anchor: daily 18tk.,2026-05-05T05:30:58
FMCC,BULL_BOUNCE_PENDING,LONG,88.3,7.65,7.09,8.03,,178,0.68,FAVORABLE,1.85,7.75,"{""structural_anchor_below"": 14.0, ""medium_anchor"": 6.0, ""high_genesis_rank"": 13.3, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $7.65 (weekly 53tk COMPRESSION gap) | only 1.3% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $7.65 on pullback (1.3% below current $7.75). Stop $7.09. Anchor: weekly 53tk.,2026-05-05T05:31:04
FMCC,BULL_BOUNCE,LONG,76.2,7.75,7.24,8.07,,195,0.63,FAVORABLE,1.85,7.75,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 2.2, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 5m (score 66) | price at lower rail ($7.71) | anchor: 5m 25tk @ $7.38 | 8 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 5m ASC, rails $7.71-$8.07",2026-05-05T05:31:04
VSH,BULL_BOUNCE_PENDING,LONG,83.7,30.0,29.43,31.5,,176,2.64,FAVORABLE,1.79,30.5572,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 14.7, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $30.00 (weekly 43tk COMPRESSION gap) | only 1.8% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $30.00 on pullback (1.8% below current $30.56). Stop $29.43. Anchor: weekly 43tk.,2026-05-05T05:31:07
VSH,CHANNEL_RECLAIM_LONG,LONG,67.0,30.56,29.7,32.09,,116,1.78,FAVORABLE,1.79,30.5572,"{""recent_breakdown"": 10.0, ""reclaim_in_progress"": 16.0, ""ascending_channel"": 10.0, ""anchor_held"": 12.0, ""obv_rising"": 8.0, ""rel_vol_strong"": 6.0, ""regime_favorable"": 5.0}",recent low $30.00 dipped below rail $30.36 | price $30.56 now back inside channel — reclaim attempt | ASC channel (5m) | anchor: weekly 43tk @ $29.79 held | OBV rising — accumulation underneath reclaim | relative volume 1.786x — conviction in reclaim | SPY FAVORABLE,"Channel: 5m ASC, breakdown reclaimed. Validated low $30.00 → now $30.56",2026-05-05T05:31:07
LITE,BULL_BOUNCE_PENDING,LONG,81.0,982.01,961.69,1031.11,,4,2.42,FAVORABLE,0.98,983.0513,"{""structural_anchor_below"": 14.0, ""large_anchor"": 10.0, ""vacuum_tier"": 6.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $982.01 (1m 101tk VACUUM gap) | only 0.1% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $982.01 on pullback (0.1% below current $983.05). Stop $961.69. Anchor: 1m 101tk.,2026-05-05T05:31:12
