ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
ACHR,LONG,CONVICTION,67.0,BULL_BOUNCE_PENDING,6.19,6.06,6.65,6.54,769,3.54,FAVORABLE,6.255,LIMIT,2026-05-22,2026-05-22T07:04:39.022108
ARM,LONG,CONVICTION,67.0,BULL_BOUNCE_PENDING,297.0,290.98,311.85,,16,2.47,FAVORABLE,298.235,LIMIT,2026-05-22,2026-05-22T07:05:58.174976
OXSQ,LONG,CONVICTION,67.0,BULL_BOUNCE_PENDING,1.31,1.27,1.38,1.4,2747,1.92,FAVORABLE,1.335,LIMIT,2026-05-22,2026-05-22T07:22:20.939568
GLUE,LONG,CONVICTION,66.7,CHANNEL_GAP_BREAKOUT_LONG,19.23,19.13,20.41,20.83,987,11.65,FAVORABLE,19.23,LIMIT,2026-05-22,2026-05-22T07:16:06.220991
TE,LONG,CONVICTION,66.3,BULL_BOUNCE_PENDING,8.23,6.85,8.64,,72,0.3,FAVORABLE,8.4,LIMIT,2026-05-22,2026-05-22T07:04:31.520726
KULR,LONG,CONVICTION,66.3,BULL_BOUNCE_PENDING,4.22,3.58,4.43,,155,0.33,FAVORABLE,4.31,LIMIT,2026-05-22,2026-05-22T07:19:26.706402
DRUG,LONG,CONVICTION,66.1,BULL_BOUNCE_PENDING,81.44,79.98,85.17,87.72,68,2.58,FAVORABLE,82.4,LIMIT,2026-05-22,2026-05-22T07:17:14.861506
CODX,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,3.35,2.38,3.52,,102,0.17,FAVORABLE,3.42,LIMIT,2026-05-22,2026-05-22T07:04:12.445221
AIXI,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,14.0,13.41,15.6,16.3,169,2.72,FAVORABLE,14.18,LIMIT,2026-05-22,2026-05-22T07:17:24.655514
QUBT,LONG,CONVICTION,65.8,BULL_BOUNCE_PENDING,12.55,11.23,13.18,,75,0.47,FAVORABLE,12.8083,LIMIT,2026-05-22,2026-05-22T07:00:13.290920
ELVN,LONG,CONVICTION,65.7,BULL_BOUNCE_PENDING,41.06,39.84,47.0,44.95,81,4.85,FAVORABLE,41.9,LIMIT,2026-05-22,2026-05-22T07:15:47.332791
KOS,LONG,CONVICTION,65.3,BULL_BOUNCE_PENDING,3.04,2.87,3.57,,564,2.97,FAVORABLE,3.105,LIMIT,2026-05-22,2026-05-22T07:06:19.697355
FCEL,LONG,CONVICTION,65.0,CHANNEL_GAP_BREAKOUT_LONG,25.77,24.48,27.06,,77,1.0,FAVORABLE,25.77,LIMIT,2026-05-22,2026-05-22T07:05:14.794229
SKYT,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,37.31,36.72,39.17,,168,3.15,FAVORABLE,38.07,LIMIT,2026-05-22,2026-05-22T07:12:40.781813
LAES,LONG,CONVICTION,64.5,CHANNEL_GAP_BREAKOUT_LONG,3.46,3.29,3.64,,577,1.0,FAVORABLE,3.465,LIMIT,2026-05-22,2026-05-22T07:01:19.661067
KTB,LONG,CONVICTION,64.5,CHANNEL_GAP_BREAKOUT_LONG,70.65,69.25,73.0,78.0,71,1.67,FAVORABLE,70.65,LIMIT,2026-05-22,2026-05-22T07:14:28.035805
PII,LONG,CONVICTION,64.3,CHANNEL_GAP_BREAKOUT_LONG,67.42,65.97,72.31,73.24,68,3.36,FAVORABLE,67.42,LIMIT,2026-05-22,2026-05-22T07:14:16.623272
DRVN,LONG,CONVICTION,64.1,BULL_BOUNCE_PENDING,13.62,13.42,14.22,,495,2.97,FAVORABLE,13.745,LIMIT,2026-05-22,2026-05-22T07:10:57.541016
AIDX,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,0.93,0.86,1.08,,1435,2.15,FAVORABLE,0.9492,LIMIT,2026-05-22,2026-05-22T07:23:53.449346
NIVF,LONG,CONVICTION,63.7,CHANNEL_GAP_BREAKOUT_LONG,0.95,0.93,1.03,,4115,3.33,FAVORABLE,0.9502,LIMIT,2026-05-22,2026-05-22T07:23:28.170402
ETON,LONG,CONVICTION,63.6,CHANNEL_GAP_BREAKOUT_LONG,32.98,31.33,34.63,,60,1.0,FAVORABLE,32.98,LIMIT,2026-05-22,2026-05-22T07:16:45.439749
OPTX,LONG,CONVICTION,63.4,BULL_BOUNCE_PENDING,10.57,10.23,11.16,12.13,296,1.75,FAVORABLE,10.615,LIMIT,2026-05-22,2026-05-22T07:10:30.215554
ALP,LONG,CONVICTION,63.3,CHANNEL_GAP_BREAKOUT_LONG,0.38,0.37,0.41,0.41,8771,2.25,FAVORABLE,0.38,LIMIT,2026-05-22,2026-05-22T07:02:17.068115
BDTX,LONG,CONVICTION,63.1,BULL_BOUNCE_PENDING,2.66,2.31,2.79,,289,0.38,FAVORABLE,2.71,LIMIT,2026-05-22,2026-05-22T07:23:48.616980
RH,LONG,CONVICTION,63.0,BULL_BOUNCE_PENDING,137.59,135.37,159.59,159.59,45,9.92,FAVORABLE,138.975,LIMIT,2026-05-22,2026-05-22T07:15:03.615559
BTQ,LONG,CONVICTION,62.9,CHANNEL_GAP_BREAKOUT_LONG,3.59,3.41,3.92,,557,1.84,FAVORABLE,3.59,LIMIT,2026-05-22,2026-05-22T07:11:03.002913
NAK,LONG,CONVICTION,62.7,BULL_BOUNCE_PENDING,2.05,1.96,2.21,,1032,1.57,FAVORABLE,2.095,LIMIT,2026-05-22,2026-05-22T07:08:58.375038
GDC,LONG,CONVICTION,62.0,BULL_BOUNCE_PENDING,0.11,-0.14,0.11,,406,0.02,FAVORABLE,0.1099,LIMIT,2026-05-22,2026-05-22T07:00:43.183469
RLAY,LONG,CONVICTION,62.0,BULL_BOUNCE_PENDING,13.35,13.06,13.97,15.46,340,2.11,FAVORABLE,13.555,LIMIT,2026-05-22,2026-05-22T07:08:20.866087
HELE,LONG,CONVICTION,62.0,BULL_BOUNCE_PENDING,25.08,24.62,26.33,,215,2.7,FAVORABLE,25.22,LIMIT,2026-05-22,2026-05-22T07:15:52.784387
GH,LONG,CONVICTION,61.2,CHANNEL_GAP_BREAKOUT_LONG,118.72,116.45,124.66,,43,2.61,FAVORABLE,118.72,LIMIT,2026-05-22,2026-05-22T07:10:38.739060
OLLI,LONG,CONVICTION,61.0,BULL_BOUNCE_PENDING,80.44,73.85,92.05,,15,1.76,FAVORABLE,82.085,LIMIT,2026-05-22,2026-05-22T07:12:23.488288
TPB,LONG,CONVICTION,61.0,CHANNEL_RECLAIM_LONG,90.2,87.16,95.05,,32,1.59,FAVORABLE,90.205,LIMIT,2026-05-22,2026-05-22T07:16:35.384046
