ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AXTI,84.2,BASING,0.0,0,19,19,95.3,90.8,450,45m,7.84,10 bear-built-above · rel-vol 1.3x · regime CHOP,False,19,84.2,82.937,95.3,79,13.18,8.79,False
AYA,24.8033,BASING,0.0,0,19,19,28.04,27.24,81,daily,9.82,48 bear-built-above · rel-vol 1.1x · regime CHOP,False,19,24.8033,24.4313,28.04,268,13.05,8.7,False
AZN,160.95,BASING,0.0,0,17,17,169.64,161.42,822,weekly,0.29,11 bear-built-above · rel-vol 0.7x · regime CHOP,False,17,160.95,158.5357,169.64,41,5.4,3.6,False
AZTA,33.36,BASING,0.0,0,11,11,36.89,36.6,29,4h,9.71,8 bear-built-above · rel-vol 0.8x · regime CHOP,False,12,33.36,32.8596,36.89,199,10.58,7.05,False
BAC,64.26,BASING,0.0,0,2,2,64.735,64.73,1,30m,0.73,2 bear-built-above · rel-vol 1.0x · regime CHOP,True,4,64.26,63.2961,64.735,103,0.74,0.49,False
BAM,51.55,BASING,0.0,0,20,20,54.31,54.03,29,daily,4.81,48 bear-built-above · rel-vol 0.8x · regime CHOP,False,21,51.55,50.7767,54.31,129,5.35,3.57,False
BAND,52.94,BASING,0.0,0,13,13,59.8,59.44,36,weekly,12.28,5 bear-built-above · rel-vol 0.8x · regime CHOP,False,13,52.94,52.1459,59.8,125,12.96,8.64,False
BATL,1.39,BASING,0.0,0,10,10,1.63,1.47,16,weekly,5.76,5 bear-built-above · rel-vol 0.6x · regime CHOP,False,10,1.39,1.3691,1.63,4796,17.27,11.51,False
BAX,25.916,BASING,0.0,0,20,20,26.73,26.47,27,weekly,2.14,46 bear-built-above · rel-vol 0.8x · regime CHOP,False,22,25.916,25.5273,26.73,257,3.14,2.09,False
BB,8.57,BASING,0.0,0,18,18,8.73,8.58,16,daily,0.12,16 bear-built-above · rel-vol 0.7x · regime CHOP,False,18,8.57,8.4414,8.73,777,1.87,1.24,False
BBIO,82.98,BASING,0.0,0,12,12,84.9,84.05,86,1h,1.29,12 bear-built-above · rel-vol 1.2x · regime CHOP,True,13,82.98,81.7353,84.9,80,2.31,1.54,False
BCO,109.19,BASING,0.0,0,20,20,130.13,123.0,713,daily,12.65,41 bear-built-above · rel-vol 0.5x · regime CHOP,False,20,109.19,107.5521,130.13,61,19.18,12.79,False
BCRX,9.7,BASING,0.0,0,20,20,10.72,10.69,4,daily,10.21,23 bear-built-above · rel-vol 0.6x · regime CHOP,False,20,9.7,9.5545,10.72,687,10.52,7.01,False
BDX,180.77,BASING,0.0,0,20,20,207.39,195.14,1225,4h,7.95,35 bear-built-above · rel-vol 0.9x · regime CHOP,False,22,180.77,178.0585,207.39,36,14.73,9.82,False
BE,212.51,BASING,0.0,0,19,19,232.16,220.765,1140,daily,3.88,16 bear-built-above · rel-vol 0.9x · regime CHOP,False,19,212.51,209.3224,232.16,31,9.25,6.16,False
BEPC,33.75,BASING,0.0,0,16,16,36.62,36.29,33,daily,7.53,49 bear-built-above · rel-vol 0.7x · regime CHOP,False,16,33.75,33.2437,36.62,197,8.5,5.67,False
BETA,26.59,BASING,0.0,0,2,2,27.81,27.0,81,weekly,1.54,rel-vol 1.7x · regime CHOP,True,4,26.59,26.1912,27.81,250,4.59,3.06,False
BFLY,8.8374,BASING,0.0,0,20,20,9.45,9.4,5,daily,6.37,16 bear-built-above · rel-vol 0.7x · regime CHOP,True,21,8.8374,8.7048,9.45,754,6.93,4.62,False
BILL,49.09,BASING,0.0,0,20,20,54.48,54.01,47,daily,10.02,19 bear-built-above · rel-vol 1.0x · regime CHOP,False,21,49.09,48.3537,54.48,135,10.98,7.32,False
BIO,349.51,BASING,0.0,0,20,20,361.19,361.06,13,daily,3.3,35 bear-built-above · rel-vol 0.7x · regime CHOP,False,26,349.51,344.2673,361.19,19,3.34,2.23,False
BIRK,37.4,BASING,0.0,0,18,18,41.0,39.75,125,daily,6.28,22 bear-built-above · rel-vol 0.9x · regime CHOP,False,18,37.4,36.839,41.0,178,9.63,6.42,False
BIVI,1.59,BASING,0.0,0,2,2,1.74,1.7301,1,1m,8.81,2 bear-built-above · rel-vol 1.3x · regime CHOP,False,3,1.59,1.5662,1.74,4192,9.43,6.29,False
BIYA,2.53,BASING,0.0,0,20,20,2.78,2.7,8,weekly,6.72,32 bear-built-above · rel-vol 0.0x · regime CHOP,False,21,2.53,2.492,2.78,2635,9.88,6.59,False
BJDX,0.9712,BASING,0.0,0,7,7,1.05,1.04,2,weekly,7.08,7 bear-built-above · rel-vol 0.0x · regime CHOP,False,7,0.9712,0.9566,1.05,6864,8.11,5.41,False
BKD,12.22,BASING,0.0,0,19,19,12.64,12.47,17,weekly,2.05,22 bear-built-above · rel-vol 0.7x · regime CHOP,False,19,12.22,12.0367,12.64,545,3.44,2.29,False
BKNG,208.5,BASING,0.0,0,20,20,212.06,210.83,123,weekly,1.12,19 bear-built-above · rel-vol 0.8x · regime CHOP,False,22,208.5,205.3725,212.06,31,1.71,1.14,False
BKV,26.65,BASING,0.0,0,11,11,28.2,28.11,9,30m,5.48,3 bear-built-above · rel-vol 1.0x · regime CHOP,False,11,26.65,26.2502,28.2,250,5.82,3.88,False
BL,30.0,BASING,0.0,0,19,19,32.73,30.9,183,daily,3.0,18 bear-built-above · rel-vol 0.7x · regime CHOP,False,19,30.0,29.55,32.73,222,9.1,6.07,False
BLDR,68.0,BASING,0.0,0,20,20,72.51,72.1,42,weekly,6.03,66 bear-built-above · rel-vol 0.6x · regime CHOP,False,20,68.0,66.98,72.51,98,6.63,4.42,False
