idea_id,day,source,ticker,setup,side,tier,score,score_band,entry_type,entry,stop,target,shares,rr,first_seen,last_seen,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,spy_regime,relative_volume_today,obv_state,notes
85c43e1c925f886f,2026-08-20,live_state_lookup,BLLN,BULL_BOUNCE_PENDING,LONG,CONVICTION,71.2,70-79,STOP,90.04,87.03,105.16,16,5.02,2026-08-20T04:02:59,2026-08-20T08:20:14,NOT_EVALUATED,,,,,,,,CHOP,0.055,FALLING,"BUY-STOP @ $94.34 (above today's high $94.25). Stop $88.44 (1.0xATR). Score 71, strength=2/4, regime=CHOP. BREAKOUT_FOLLOW."
1e5879bd1b0b12f6,2026-08-20,live_state_lookup,RH,BULL_BOUNCE_PENDING,LONG,CONVICTION,70.7,70-79,LIMIT,158.03,142.33,183.5,1,1.62,2026-08-20T09:41:20,2026-08-20T10:18:06,NOT_EVALUATED,,,,,,,,CHOP,0.541,FALLING,LIMIT BUY @ $158.03 (2% pullback cap; anchor at $145.34 too far). Stop $142.33. Anchor: daily 232tk.
1ed4804d14cf7a73,2026-08-20,live_state_lookup,ALHC,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.7,70-79,LIMIT,13.07,13.48,12.1,241,2.33,2026-08-20T05:07:54,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,0.671,FALLING,LIMIT SHORT @ $13.07 (2% rally cap; anchor at $13.15 too far). Stop $13.48. Anchor: daily 9tk bear.
afc6867ff8ab700f,2026-08-20,live_state_lookup,SHMD,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.5,70-79,LIMIT,4.9,5.18,4.42,348,1.71,2026-08-20T04:03:28,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,1.052,RISING,LIMIT SHORT @ $4.90 (2% rally cap; anchor at $5.06 too far). Stop $5.18. Anchor: 4h 4tk bear.
c2c4af2a2e0813a2,2026-08-20,live_state_lookup,GNIS,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.3,70-79,LIMIT,0.0,0.0,0.0,533333,0.0,2026-08-20T05:08:52,2026-08-20T09:49:19,NOT_EVALUATED,,,,,,,,HOSTILE,0.029,FALLING,LIMIT SHORT @ $0.00 (2% rally cap; anchor at $0.00 too far). Stop $0.0. Anchor: 1h 1tk bear.
1f34112411328a1d,2026-08-20,live_state_lookup,BLLN,BULL_BOUNCE_PENDING,LONG,CONVICTION,70.2,70-79,LIMIT,90.04,87.03,105.16,33,5.02,2026-08-20T04:02:59,2026-08-20T10:18:06,NOT_EVALUATED,,,,,,,,CHOP,0.645,FALLING,LIMIT BUY @ $90.04 (2% pullback cap; anchor at $89.94 too far). Stop $87.03. Anchor: 45m 213tk.
6e75382b2e2ff89d,2026-08-20,live_state_lookup,QMCO,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.1,70-79,LIMIT,22.23,23.96,19.15,57,1.77,2026-08-20T05:09:03,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,0.768,RISING,LIMIT SHORT @ $22.23 (2% rally cap; anchor at $23.27 too far). Stop $23.96. Anchor: daily 25tk bear.
d52deec16c6b8ad9,2026-08-20,live_state_lookup,COSM,BULL_BOUNCE_PENDING,LONG,CONVICTION,70.1,70-79,LIMIT,0.19,0.19,0.2,9238,10.0,2026-08-20T04:03:41,2026-08-20T08:00:42,NOT_EVALUATED,,,,,,,,CHOP,0.43,NEUTRAL,LIMIT BUY @ $0.20 (2% pullback cap; anchor at $0.19 too far). Stop $0.19. Anchor: 4h 1tk.
6ee43ed827bb5941,2026-08-20,live_state_lookup,TDC,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.1,70-79,LIMIT,28.63,29.73,26.86,91,1.61,2026-08-20T04:02:32,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,0.461,RISING,LIMIT SHORT @ $28.63 (2% rally cap; anchor at $29.21 too far). Stop $29.73. Anchor: 1h 19tk bear.
f1364e9f3e7e3d2f,2026-08-20,live_state_lookup,MSGY,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.0,70-79,LIMIT,2.66,2.89,2.53,517,0.57,2026-08-20T05:09:09,2026-08-20T08:53:52,NOT_EVALUATED,,,,,,,,HOSTILE,0.018,RISING,LIMIT SHORT @ $2.59 on rally (0.4% above current $2.58). Stop $2.78. Anchor: 4h 6tk bear.
