ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
SKYX,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,1.11,1.02,1.26,,1211,1.85,FAVORABLE,1.13,LIMIT,3,MINOR,2026-06-01,2026-06-01T05:36:35.472399
NRIX,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,17.4,15.16,18.28,,44,0.39,FAVORABLE,17.76,LIMIT,2,COMPRESSION,2026-06-01,2026-06-01T05:37:00.902707
CRMD,SHORT,CONVICTION,65.0,BEAR_REJECTION_PENDING,8.72,11.23,8.28,,39,0.17,FAVORABLE,8.55,LIMIT,2,CONVICTION,2026-06-01,2026-06-01T05:37:25.323889
LRMR,LONG,CONVICTION,65.0,BULL_BOUNCE,3.43,3.18,3.85,,402,1.68,FAVORABLE,3.433,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:38:10.976464
PSNY,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,22.62,21.95,25.03,25.03,148,3.59,FAVORABLE,23.08,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:38:27.968205
PRIM,SHORT,CONVICTION,65.0,BEAR_REJECTION_PENDING,127.66,195.7,121.28,,1,0.09,FAVORABLE,125.16,LIMIT,5,CONVICTION,2026-06-01,2026-06-01T05:38:51.729512
UPBD,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,18.82,18.02,20.8,20.88,125,2.49,FAVORABLE,19.2,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:39:28.629180
AMZE,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,0.15,0.14,0.17,,10615,1.56,FAVORABLE,0.1537,LIMIT,1,MINOR,2026-06-01,2026-06-01T05:41:48.740899
CXT,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,38.09,37.54,42.43,39.76,183,7.95,FAVORABLE,38.84,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:42:00.888219
NAMS,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,32.34,28.5,33.96,,26,0.42,FAVORABLE,33.0,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:43:08.280961
HCWB,LONG,CONVICTION,65.0,BULL_BOUNCE,2.15,1.49,3.42,,150,1.91,FAVORABLE,2.15,LIMIT,1,MINOR,2026-06-01,2026-06-01T05:43:13.972160
AAOI,LONG,CONVICTION,65.0,BULL_BOUNCE,157.49,133.7,171.6,,4,0.59,FAVORABLE,157.49,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:43:32.731505
MNRO,LONG,CONVICTION,64.9,BULL_BOUNCE_PENDING,16.12,14.74,18.47,,72,1.7,FAVORABLE,16.45,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:39:25.403720
AEHR,LONG,CONVICTION,64.9,BULL_BOUNCE_PENDING,89.67,80.32,94.15,,10,0.48,FAVORABLE,91.5,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:43:58.315405
LASR,LONG,CONVICTION,64.8,BULL_BOUNCE_PENDING,72.5,69.44,84.0,85.05,32,3.75,FAVORABLE,73.98,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:43:32.820162
OC,SHORT,CONVICTION,64.4,BEAR_REJECTION_PENDING,128.0,130.65,118.97,118.97,37,3.41,FAVORABLE,125.82,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:35:59.535492
RDW,LONG,CONVICTION,64.2,BULL_BOUNCE_PENDING,22.83,20.73,23.98,,47,0.54,FAVORABLE,23.3,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:29:35.966792
APGE,LONG,CONVICTION,64.2,BULL_BOUNCE_PENDING,78.75,76.63,82.0,,47,1.53,FAVORABLE,80.36,LIMIT,4,COMPRESSION,2026-06-01,2026-06-01T05:34:01.926235
NUVL,LONG,CONVICTION,64.2,BULL_BOUNCE_PENDING,109.63,108.56,112.21,,92,2.39,FAVORABLE,110.39,LIMIT,2,VACUUM,2026-06-01,2026-06-01T05:36:18.028899
