ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
BURL,252.15,240.97,235.43,237.12,ABOVE_PDH,ABOVE_PDL,True,246.6,236.83,1.0,ABOVE_ORH,0.925,True,False,0.925,3.32,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
CAL,11.91,12.18,11.65,11.74,BELOW_PDH,RECLAIMED_PDL,True,11.8,11.58,1.0,ABOVE_ORH,0.635,False,False,0.635,2.22,72,CONTINUATION_LONG,34,AVOID_SHORT
CCC,6.48,6.615,6.43,6.55,REJECTED_PDH,RECLAIMED_PDL,True,6.63,6.4,0.348,OR_BOTTOM_THIRD,0.348,False,False,0.348,4.46,58,AVOID_LONG,54,AVOID_SHORT
CCTG,0.56,0.5599,0.51,0.5158,ABOVE_PDH,ABOVE_PDL,True,0.5799,0.5111,0.711,OR_TOP_THIRD,0.711,False,False,,,62,CONTINUATION_LONG,48,NEUTRAL
CMPS,15.05,15.425,14.76,15.19,REJECTED_PDH,ABOVE_PDL,True,15.55,15.0,0.091,OR_BOTTOM_THIRD,0.254,False,False,0.254,1.24,46,AVOID_LONG,62,NEUTRAL
CMTL,1.49,1.51,1.46,1.5,REJECTED_PDH,ABOVE_PDL,True,1.52,1.505,0.0,BELOW_ORL,0.385,False,False,0.385,1.74,26,AVOID_LONG,72,CONTINUATION_SHORT
CNH,13.48,13.715,13.4,13.45,REJECTED_PDH,ABOVE_PDL,True,13.71,13.44,0.148,OR_BOTTOM_THIRD,0.131,False,False,0.131,1.98,38,AVOID_LONG,74,AVOID_SHORT_CHASE
CNQ,48.2759,50.6361,49.545,49.64,BELOW_PDH,BELOW_PDL,True,49.245,48.32,0.0,BELOW_ORL,0.186,False,True,0.186,1.98,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
COCO,57.12,56.915,55.18,55.82,ABOVE_PDH,ABOVE_PDL,True,56.595,55.565,1.0,ABOVE_ORH,0.539,True,False,0.539,3.96,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
COMP,10.018,10.43,9.965,10.08,REJECTED_PDH,ABOVE_PDL,True,10.56,10.05,0.0,BELOW_ORL,0.0,False,False,0.0,4.03,18,AVOID_LONG,84,AVOID_SHORT_CHASE
COUR,5.14,5.175,5.02,5.04,REJECTED_PDH,RECLAIMED_PDL,True,5.19,4.98,0.762,OR_TOP_THIRD,0.762,False,False,0.762,1.81,62,AVOID_LONG,52,AVOID_SHORT
CRCL,94.6954,92.5525,87.02,91.78,ABOVE_PDH,ABOVE_PDL,True,99.97,94.56,0.025,OR_BOTTOM_THIRD,0.23,False,False,0.23,1.07,62,CONTINUATION_LONG,54,NEUTRAL
CRE,2.91,3.2,2.9926,3.0,BELOW_PDH,BELOW_PDL,True,3.0174,3.0,0.0,BELOW_ORL,0.0,False,False,,,26,AVOID_LONG,72,AVOID_SHORT_CHASE
CRVO,2.41,2.5754,2.43,2.43,BELOW_PDH,BELOW_PDL,True,2.49,2.45,0.0,BELOW_ORL,0.0,False,False,0.0,1.82,18,AVOID_LONG,84,AVOID_SHORT_CHASE
CTM,0.6358,0.6274,0.6093,0.6093,ABOVE_PDH,ABOVE_PDL,True,0.642,0.62,0.718,OR_TOP_THIRD,0.718,False,False,0.718,0.81,62,CONTINUATION_LONG,48,NEUTRAL
CTSH,59.38,61.89,59.76,59.87,REJECTED_PDH,BELOW_PDL,True,61.97,60.14,0.0,BELOW_ORL,0.058,False,False,0.058,2.09,6,AVOID_LONG,96,AVOID_SHORT_CHASE
CTSO,5.51,6.0,5.5,5.75,BELOW_PDH,RECLAIMED_PDL,True,5.79,5.74,0.0,BELOW_ORL,0.556,False,False,,,50,AVOID_LONG,52,AVOID_SHORT
DASH,195.3337,196.01,192.35,192.94,TESTING_PDH,RECLAIMED_PDL,True,193.85,188.71,1.0,ABOVE_ORH,1.0,False,False,1.0,1.69,84,AVOID_LONG_CHASE,26,AVOID_SHORT
DRVN,12.11,12.31,12.1,12.28,REJECTED_PDH,RECLAIMED_PDL,True,12.32,12.01,0.323,OR_BOTTOM_THIRD,0.323,False,False,0.323,2.87,58,AVOID_LONG,54,AVOID_SHORT
DYN,17.16,18.15,16.96,17.11,BELOW_PDH,RECLAIMED_PDL,True,17.47,16.75,0.569,OR_MIDDLE,0.488,False,False,0.488,4.18,62,NEUTRAL,42,AVOID_SHORT
EIX,55.02,55.55,54.83,55.31,REJECTED_PDH,RECLAIMED_PDL,True,55.52,54.67,0.412,OR_MIDDLE,0.327,False,False,0.327,2.47,50,AVOID_LONG,54,AVOID_SHORT
ELF,97.8015,97.42,92.8477,96.44,ABOVE_PDH,ABOVE_PDL,True,97.71,95.02,1.0,ABOVE_ORH,0.722,True,False,0.722,2.88,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
FCEL,17.94,18.38,17.17,18.11,REJECTED_PDH,ABOVE_PDL,True,18.34,17.63,0.437,OR_MIDDLE,0.369,False,False,0.369,1.88,38,AVOID_LONG,62,NEUTRAL
FIGR,35.5097,36.55,34.3,35.49,REJECTED_PDH,ABOVE_PDL,True,37.46,35.0,0.207,OR_BOTTOM_THIRD,0.207,False,False,0.207,1.76,38,AVOID_LONG,74,NEUTRAL
FNB,17.91,18.0075,17.825,17.93,REJECTED_PDH,TESTING_PDL,True,18.065,17.95,0.0,BELOW_ORL,0.114,False,False,0.114,3.3,18,AVOID_LONG,84,AVOID_SHORT_CHASE
FTHM,0.555,0.565,0.5255,0.5255,REJECTED_PDH,ABOVE_PDL,True,0.5605,0.55,0.476,OR_MIDDLE,0.228,False,False,,,38,AVOID_LONG,62,NEUTRAL
FUBO,10.13,10.19,9.71,10.04,REJECTED_PDH,ABOVE_PDL,True,10.31,10.0501,0.307,OR_BOTTOM_THIRD,0.367,False,False,0.367,3.1,46,AVOID_LONG,62,NEUTRAL
GDHG,1.12,1.16,1.12,1.14,BELOW_PDH,TESTING_PDL,True,1.145,1.1201,0.0,BELOW_ORL,0.27,False,True,0.27,0.22,30,AVOID_LONG,78,FIRST_RALLY_SHORT_ZONE
GLND,2.932,1.22,1.17,1.2,ABOVE_PDH,ABOVE_PDL,True,3.18,2.65,0.532,OR_MIDDLE,0.381,False,False,0.381,0.62,62,CONTINUATION_LONG,42,NEUTRAL
GNIS,0.0005,0.0007,0.0006,0.0006,BELOW_PDH,BELOW_PDL,True,0.0006,0.0005,0.0,OR_BOTTOM_THIRD,0.0,False,False,,,46,NEUTRAL,62,AVOID_SHORT_CHASE
GPRO,1.3,1.34,1.28,1.31,REJECTED_PDH,ABOVE_PDL,True,1.38,1.29,0.111,OR_BOTTOM_THIRD,0.111,False,False,0.111,0.98,46,AVOID_LONG,62,AVOID_SHORT_CHASE
GRML,10.93,3.0595,2.82,2.85,ABOVE_PDH,ABOVE_PDL,True,7.9,6.63,1.0,ABOVE_ORH,0.851,False,False,0.851,0.53,72,AVOID_LONG_CHASE,34,AVOID_SHORT
GWRE,149.38,145.605,140.11,144.29,ABOVE_PDH,ABOVE_PDL,True,148.82,143.8612,1.0,ABOVE_ORH,0.878,True,False,0.878,1.9,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
HCA,425.97,436.14,425.37,427.71,BELOW_PDH,RECLAIMED_PDL,True,434.07,424.34,0.168,OR_BOTTOM_THIRD,0.239,False,True,0.239,2.85,54,RELOAD_ZONE,72,FIRST_RALLY_SHORT_ZONE
HITI,2.6298,2.67,2.545,2.58,BELOW_PDH,ABOVE_PDL,True,2.65,2.57,0.748,OR_TOP_THIRD,0.704,False,False,0.704,0.85,50,NEUTRAL,56,NEUTRAL
HL,18.43,19.28,18.585,18.92,BELOW_PDH,BELOW_PDL,True,19.04,17.86,0.483,OR_MIDDLE,0.483,False,False,0.483,1.63,38,NEUTRAL,62,CONTINUATION_SHORT
